iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 3459.51586914 -3.774593116271685034e-02 1.554404163903200242e-01 3.985158434749891398e-02 -8.847596793481211641e-01 -1.585447809681723719e-01 7.177736380924821802e-01 3.446153929649575787e-02 -6.182765824737499472e-01 -8.619903196333811302e-02 -3.782299770623982482e-01 -1.905078604486973859e-01 -6.198249094735841513e-01 -1.638998840350909258e-01 -6.871325671417491954e-01 -4.532535226502429904e-01 8.611338765702039044e-01 -3.050086665439244449e-01 -2.571574967922485300e-01 5.382183655868617578e-01 7.240893235024457031e-01 -5.925129077156627844e-01 -7.501976478951219995e-01 1.061751486956239443e-01 -9.144412828257393322e-01 -2.722462563063512420e-01 -9.381904959018039225e-01 4.875931823462726911e-01 -4.480777168786564957e-02 -7.304442512499420559e-01 4.932391841649086395e-01 8.227313190039649005e-01 7.766860059638573954e-01 -3.878762469714041039e-01 -1.940909605863212484e-01 -2.620169551498625626e-01 -3.155754339811402964e-01 -5.624416738796989002e-01 4.985996292394567764e-01 4.513156202176631382e-01 -7.638229072250830587e-01 -4.105578919375689750e-01 9.504177544363088259e-01 2.951432269611364845e-02 -4.102158155658239824e-01 3.295022279574459922e-01 -3.750085916159311417e-01 -8.417999820553474510e-01 -9.142158331945842153e-01 -9.327087444660806526e-01 -4.171164519894017264e-01 -3.544664131001844520e-01 -6.325906626999577842e-01 4.895354421514641619e-01 2.021875580182828092e-01 8.223084516639498354e-01 -5.652553227360195276e-01 -8.636396739814085066e-01 -2.016335509067648246e-01 8.167712392662864751e-01 -8.459757670120138240e-01 -6.448714906439296790e-01 5.078514355558303439e-01 7.604065264343018438e-01 8.564006079018022799e-01 -2.073675422186829209e-01 3.698274787526778518e-02 -1.018998831043393949e-02 6.246268942839707794e-01 7.906273207291891758e-01 -3.905355071802605327e-01 4.323686227567999918e-01 8.640439981727858765e-01 -7.513248159396144210e-01 5.583328733928543119e-01 4.933359658181195595e-01 2.976027860276220238e-01 -9.620460000723223271e-01 9.677326649209438969e-01 -7.264116178072894670e-01 8.025422747261246048e-01 5.847000764998315780e-01 -5.050877446325361397e-01 2.648974537993655787e-01 -6.676210425855730879e-01 8.649277418542904439e-01 7.883790673862058895e-01 9.627634649729432947e-01 -6.865963259282221731e-01 -6.292257156644429639e-01 6.712960560033878199e-01 2.184550409802965554e-02 5.239513972770513117e-01 9.057247052494932227e-01 8.531265758164956470e-01 -6.865575330507800444e-02 -5.451194504191891888e-01 -6.353961879132705715e-01 -7.401466536402323548e-02 -7.076363248057320199e-01 8.312077414021217248e-01
1 3459.16918945 -2.774593045491169363e-02 1.654404161668026063e-01 2.985158550233890651e-02 -8.947596716740231493e-01 -1.485447811916897898e-01 7.077736383159995981e-01 2.446153858869060116e-02 -6.282765822502325292e-01 -7.619903218685553092e-02 -3.882299768388808303e-01 -1.805078709167631246e-01 -6.098249096971015693e-01 -1.538998870525760676e-01 -6.971325669182317775e-01 -4.632535224267255725e-01 8.711338763466864865e-01 -2.950086667674418628e-01 -2.671574965687311121e-01 5.482183644320217653e-01 7.140893274512534195e-01 -5.825129079391802023e-01 -7.401976490499619921e-01 1.161751484721065264e-01 -9.244412835335444889e-01 -2.822462570141563987e-01 -9.281904970566439150e-01 4.975931811914326985e-01 -5.480776960170308243e-02 -7.404442500951020634e-01 4.832391853197486320e-01 8.127313201588048930e-01 7.866860057403399775e-01 -3.778762471949215218e-01 -1.840909608098386663e-01 -2.720169549263451447e-01 -3.055754342046577143e-01 -5.724416736561814822e-01 5.085996290159393585e-01 4.413156223038257053e-01 -7.538229074486004766e-01 -4.205578917140515571e-01 9.404177574537939677e-01 1.951432291963106636e-02 -4.002158157893414003e-01 3.195022281809634102e-01 -3.650085937020937088e-01 -8.517999827631526077e-01 -9.242158329710667974e-01 -9.227087456209206451e-01 -4.071164522129191443e-01 -3.644664119453444595e-01 -6.425906624764403663e-01 4.995354419279467439e-01 2.121875568634428166e-01 8.323084514404324175e-01 -5.752553225125021097e-01 -8.736396728265685141e-01 -1.916335511302822425e-01 8.067712404211264676e-01 -8.359757672355312419e-01 -6.548714904204122611e-01 4.978514357793477618e-01 7.504065275891418363e-01 8.464006081253196978e-01 -2.173675410638429284e-01 4.698274765175036727e-02 -1.899885339513573967e-04 6.346268912664856376e-01 8.006273205056717579e-01 -4.005355078880656894e-01 4.223686248429625589e-01 8.540439993276258690e-01 -7.413248161631318389e-01 5.683328722380143194e-01 4.833359660416369774e-01 3.076027848727820313e-01 -9.520460012271623196e-01 9.777326646974264790e-01 -7.164116189621294595e-01 8.125422745026071869e-01 5.947000762763141601e-01 -5.150877444090187218e-01 2.748974535758481608e-01 -6.776210423620556700e-01 8.749277416307730260e-01 7.783790666784007328e-01 9.727634647494258768e-01 -6.965963247733821806e-01 -6.392257145096029713e-01 6.812960557798704020e-01 3.184550108054451378e-02 5.339513970535338938e-01 8.957247054730106406e-01 8.631265755929782291e-01 -5.865575352859542235e-02 -5.551194501956717708e-01 -6.253961881367879894e-01 -6.401466651886322801e-02 -6.976363287545397363e-01 8.212077406943165681e-01
2 3458.84277344 -1.775621899891088873e-02 1.754517259246313188e-01 2.061187556625654338e-02 -9.030467233666281679e-01 -1.386305524990389948e-01 6.977608151589871355e-01 1.445418695180400448e-02 -6.382341416569898840e-01 -6.622429919182226676e-02 -3.970072776660860114e-01 -1.710850191903503514e-01 -5.999382528092722655e-01 -1.444225380543870951e-01 -7.071141451341884654e-01 -4.732443076976549090e-01 8.811335827565580647e-01 -2.852395018103357494e-01 -2.771388028384960123e-01 5.515864238380787654e-01 7.048136917468552642e-01 -5.725038370808208654e-01 -7.317094288872723062e-01 1.261361919566155176e-01 -9.343912051638674221e-01 -2.922312718104134177e-01 -9.182051171819376467e-01 5.073438305244328816e-01 -6.407733401423731934e-02 -7.500385322304694569e-01 4.738836961551577964e-01 8.093849177278980012e-01 7.964792081330969165e-01 -3.679308797319884583e-01 -1.740794284659146207e-01 -2.820252369544837823e-01 -2.958879639324742961e-01 -5.824174245867888011e-01 5.185935230416227615e-01 4.354099205249966076e-01 -7.438094603054630216e-01 -4.304820389921220070e-01 9.313557485215611109e-01 9.513957133376660380e-03 -3.904921645664567453e-01 3.094887838317936790e-01 -3.558492736680070045e-01 -8.616755587749891365e-01 -9.342280153781479246e-01 -9.149552011338615287e-01 -3.971049459460271880e-01 -3.744780262456550712e-01 -6.525449203446707092e-01 5.092606195885311937e-01 2.221062708056129598e-01 8.423018881867316843e-01 -5.852637274752205965e-01 -8.825353661734265387e-01 -1.821714767536395385e-01 8.024188659531277246e-01 -8.259728794277447772e-01 -6.648813417270891257e-01 4.878859182211903178e-01 7.414888950763935949e-01 8.363873807743098521e-01 -2.273583281974174142e-01 5.685136947792224227e-02 9.680919689141198603e-03 6.441178310550059738e-01 8.106050821617176716e-01 -4.105342419971693690e-01 4.129515147202222902e-01 8.441017778723498566e-01 -7.314922756361457168e-01 5.777209306843620329e-01 4.736394330694799759e-01 3.176066291488526261e-01 -9.424430633797864498e-01 9.876836173018395115e-01 -7.064221561692560769e-01 8.225362160257418953e-01 6.046431340592621773e-01 -5.247606469334900048e-01 2.849104397143111811e-01 -6.874581957297538626e-01 8.848636896971864285e-01 7.683665592397410649e-01 9.827683074032964594e-01 -7.066098874005188879e-01 -6.491430733774270490e-01 6.910594893778523318e-01 4.179615007379822167e-02 5.439564324911774218e-01 8.859625841085363440e-01 8.731361158379151721e-01 -4.966342522007272109e-02 -5.651076063429729679e-01 -6.154635267077404048e-01 -5.407206694662192170e-02 -6.876578546367242417e-01 8.115983646139823815e-01
3 3458.51904297 -7.742723426999553737e-03 1.853021804413401696e-01 1.705554650777330039e-02 -9.120528417685132005e-01 -1.290814339206050043e-01 6.877272272338510462e-01 4.425841441440425683e-03 -6.481506530212710615e-01 -5.623442475437090415e-02 -4.063069461495221191e-01 -1.629721900117786504e-01 -5.899819404434423209e-01 -1.347459391106171633e-01 -7.171311368910449069e-01 -4.831859331064831675e-01 8.910949810749679845e-01 -2.753749666276212871e-01 -2.870805986793554254e-01 5.584705349295733257e-01 6.958217210662012153e-01 -5.625315488075459669e-01 -7.226432429732922991e-01 1.360984964518905382e-01 -9.442865922695111713e-01 -3.020716037820587729e-01 -9.082555326903867243e-01 5.169200813234331449e-01 -7.329613948380986344e-02 -7.575342386657624161e-01 4.642390927984387794e-01 8.066594238665356631e-01 8.063513280068590472e-01 -3.579633840446825310e-01 -1.640821881982206243e-01 -2.919200149751637330e-01 -2.860453148302632975e-01 -5.924302160788337268e-01 5.284948817876149452e-01 4.343187114011541894e-01 -7.337744828470456060e-01 -4.396819814542682892e-01 9.229400467224664339e-01 -4.926857670306539205e-04 -3.806278724589342577e-01 2.994578529699629676e-01 -3.466583035675445679e-01 -8.716077843450718010e-01 -9.442506481558388121e-01 -9.105401607637846340e-01 -3.870706744301213309e-01 -3.845129319922342415e-01 -6.625453159332475028e-01 5.181579678956043100e-01 2.318409181541360997e-01 8.522719627062467218e-01 -5.952472000012940523e-01 -8.919072391647500098e-01 -1.743126937469714477e-01 8.024103780474391989e-01 -8.160462026775616717e-01 -6.748948652386776992e-01 4.779702040690330112e-01 7.326569889439935590e-01 8.264418885141517901e-01 -2.373287519628979325e-01 6.677172161650113402e-02 1.954452913721649310e-02 6.510697224064971866e-01 8.205827898010542576e-01 -4.205292703737486537e-01 4.032751635082572061e-01 8.346321895851751549e-01 -7.217433697390052139e-01 5.841810357533436804e-01 4.637968882753973343e-01 3.272575133450148499e-01 -9.326875739633659901e-01 9.976035428946792294e-01 -6.969341202445233918e-01 8.325400360874255501e-01 6.142835436704277008e-01 -5.341208355517923501e-01 2.948985725785480128e-01 -6.973641291322325575e-01 8.948469815466804089e-01 7.583712263206798809e-01 9.927922254061403162e-01 -7.165826357471456465e-01 -6.583877928976382687e-01 7.007636377747019640e-01 4.372506161818079384e-02 5.539866965260447085e-01 8.762207478810597472e-01 8.831611300074293514e-01 -4.191980583769128188e-02 -5.749660562639848926e-01 -6.055903330190497424e-01 -4.415645337730267350e-02 -6.856123713083221993e-01 8.028418574259006402e-01
4 3458.21362305 2.298429631410137119e-03 1.951208796522223565e-01 1.973935460352649329e-02 -9.209036602684359529e-01 -1.198416913882325296e-01 6.776613736381174036e-01 -5.559664161813415717e-03 -6.577332507836173292e-01 -4.621007741182014961e-02 -4.148141243145406776e-01 -1.542743160990269757e-01 -5.802133016835908652e-01 -1.251539666552348162e-01 -7.271642181767004054e-01 -4.929723498829614581e-01 9.009926080114036839e-01 -2.655683047610160052e-01 -2.970632851691759058e-01 5.663877155869601054e-01 6.868445192989354187e-01 -5.528035240938509176e-01 -7.132907834010366876e-01 1.460446965172053080e-01 -9.538448545729827366e-01 -3.118613211657415007e-01 -8.984650227511929987e-01 5.266621066093923886e-01 -8.117198804533520828e-02 -7.624330689827232277e-01 4.545114955618054786e-01 8.024276323888852591e-01 8.163009143610551188e-01 -3.482198556040878579e-01 -1.540544433909176725e-01 -3.016604151032302727e-01 -2.761748461914259600e-01 -6.024747666019956149e-01 5.384723603215981758e-01 4.335783098379195621e-01 -7.237115955137121137e-01 -4.491724928344043022e-01 9.139253694661206850e-01 -1.043561130217307564e-02 -3.707180321582550508e-01 2.894858673765248192e-01 -3.373114999172845963e-01 -8.816047405593805397e-01 -9.542627830654686338e-01 -9.040740356256806720e-01 -3.770081950160755202e-01 -3.945301314340248222e-01 -6.724494798228344283e-01 5.274711992296945429e-01 2.416782978332199239e-01 8.622128030101445795e-01 -6.052062541807836649e-01 -9.014196478012603819e-01 -1.733477976920330121e-01 7.997218940138695054e-01 -8.063066770613926959e-01 -6.849472994074337073e-01 4.681468473139551723e-01 7.235583715839977170e-01 8.165214544191863322e-01 -2.472895402650214791e-01 7.672920744877509414e-02 2.878210634460298678e-02 6.551904350406732025e-01 8.305101194083621685e-01 -4.305515632186998065e-01 3.942734130092471201e-01 8.258380215748211128e-01 -7.123041183533760368e-01 5.871642216816586046e-01 4.538713067605619766e-01 3.370625006936309731e-01 -9.235595808267216267e-01 1.000000000000000000e+00 -6.876285453133190728e-01 8.425292306593974434e-01 6.233147565590857475e-01 -5.429933529363810685e-01 3.048793936292515383e-01 -7.073442181633924353e-01 9.044049309257669034e-01 7.483328616420585888e-01 1.000000000000000000e+00 -7.265989988612642225e-01 -6.675879775036539510e-01 7.102495810176094881e-01 4.601397753359548481e-02 5.639982270073236048e-01 8.667035867054511122e-01 8.931565933116509814e-01 -3.358769210231349334e-02 -5.848168432628528812e-01 -5.958437479777651813e-01 -3.468474074333527390e-02 -6.802523435331537804e-01 7.938099907487952134e-01
5 3457.91699219 1.237708053064157099e-02 2.050125880336963746e-01 2.527909038269271491e-02 -9.301617694133024195e-01 -1.104890939802358751e-01 6.675725228940487810e-01 -1.542595023096815510e-02 -6.669092256593058821e-01 -3.615020197569296379e-02 -4.232931849197090202e-01 -1.451209369716437436e-01 -5.704012334894399405e-01 -1.168736260731024768e-01 -7.372010722501056712e-01 -5.027235384517323435e-01 9.108007311231285374e-01 -2.558665601077314555e-01 -3.070967538850224443e-01 5.743713684617874904e-01 6.774994777109866195e-01 -5.433002638389909933e-01 -7.037023620786313494e-01 1.560333928315997820e-01 -9.630545749908399067e-01 -3.213699802975664710e-01 -8.885873605767893313e-01 5.343251176946344216e-01 -8.722337335488239418e-02 -7.653146450570105230e-01 4.447220007642180839e-01 7.964112885568692679e-01 8.262563140307619403e-01 -3.385168853302951142e-01 -1.440046206506608861e-01 -3.113469894430969109e-01 -2.671607705694634127e-01 -6.125638194430629291e-01 5.484995388847757614e-01 4.380722150692761829e-01 -7.136080410488354620e-01 -4.588529120633753067e-01 9.046101180933661112e-01 -2.022546559027427193e-02 -3.608112894364590151e-01 2.799326109318918121e-01 -3.277933236000696304e-01 -8.916424449302964295e-01 -9.642216602936690695e-01 -9.019133835507178176e-01 -3.669194420608772322e-01 -4.045305465803756828e-01 -6.823425423473319373e-01 5.369706038090955591e-01 2.515697491696633481e-01 8.721987630988148332e-01 -6.151614731739110109e-01 -9.108571995231908858e-01 -1.764400868958109214e-01 7.951893393613276295e-01 -7.966325526417035174e-01 -6.949718069374672957e-01 4.583528551596549594e-01 7.143563410966391469e-01 8.065189028188493037e-01 -2.571262065510131478e-01 8.674426671128920852e-02 3.720375463833658358e-02 6.590724527257736387e-01 8.403753894045880024e-01 -4.406073035825956996e-01 3.851635229208081324e-01 8.187624706088563187e-01 -7.030482732536884605e-01 5.853998040556949167e-01 4.438883511185174324e-01 3.469674226797936356e-01 -9.145695091127972187e-01 1.000000000000000000e+00 -6.788537693016136743e-01 8.525014136932214104e-01 6.316697696539281814e-01 -5.509132269786536362e-01 3.147161716739521609e-01 -7.173415403874729979e-01 9.134077487204474988e-01 7.382527634675462025e-01 1.000000000000000000e+00 -7.366202784272541937e-01 -6.767961789343919232e-01 7.192126406515797488e-01 5.170855966063014897e-02 5.738624483343304217e-01 8.576719789360214286e-01 9.031219693087770839e-01 -2.470441328537509307e-02 -5.947703588669912556e-01 -5.864959170787054088e-01 -2.514445855348923509e-02 -6.796999889198347411e-01 7.851703114584409615e-01
6 3457.62744141 2.246843373846818537e-02 2.149355655706131074e-01 3.214645675995697616e-02 -9.395351660483579614e-01 -1.009981476724575167e-01 6.574882849906922289e-01 -2.516609610797182484e-02 -6.763728218170355078e-01 -2.610910759060547370e-02 -4.322419431642234855e-01 -1.356826942083628751e-01 -5.605666729237894774e-01 -1.092637571852905776e-01 -7.472712229681985896e-01 -5.126085049890887202e-01 9.206330797976642888e-01 -2.465655579703684985e-01 -3.171704557360923715e-01 5.829276897251007838e-01 6.680536064844970756e-01 -5.342976416220510671e-01 -6.951639175521378000e-01 1.660778045876980524e-01 -9.720889618268322430e-01 -3.306125465999851798e-01 -8.786059974963473795e-01 5.424200682737412293e-01 -9.267136315023938309e-02 -7.666692394227041518e-01 4.348086698665292182e-01 7.890770166453375811e-01 8.355654559274270365e-01 -3.290163221856112763e-01 -1.338936267810582059e-01 -3.210809541321728577e-01 -2.586961491894919085e-01 -6.226527446929375209e-01 5.584581022572685516e-01 4.445632516892672470e-01 -7.034564126439797338e-01 -4.686166325087102180e-01 8.952095585040993342e-01 -3.000849980316155907e-02 -3.508822387450332148e-01 2.702584539159125221e-01 -3.181466871661702278e-01 -9.016867393397502983e-01 -9.742229201495951063e-01 -9.025570166239136327e-01 -3.568114395993842169e-01 -4.145609102667584533e-01 -6.922799972936710677e-01 5.465830951634418344e-01 2.610616146928228520e-01 8.822344455684212328e-01 -6.250771752188748476e-01 -9.204319266784590781e-01 -1.821531627608710124e-01 7.887715824611363225e-01 -7.869132255495328021e-01 -7.047166885897628852e-01 4.484532826903608882e-01 7.056361433817739393e-01 7.964404884755518221e-01 -2.663888735885597825e-01 9.680031906824759780e-02 4.536453947892038485e-02 6.651942041124458971e-01 8.501781741753151600e-01 -4.506362013672460254e-01 3.759210031845181543e-01 8.137428603268226368e-01 -6.940526033597680389e-01 5.806902231425088434e-01 4.338517606094007828e-01 3.569726928107259667e-01 -9.063376820548991741e-01 1.000000000000000000e+00 -6.697448151923621751e-01 8.622856474495848023e-01 6.402999354841827362e-01 -5.583282613212108281e-01 3.245401151622520075e-01 -7.273128572913025724e-01 9.212717685539526524e-01 7.281267278070409077e-01 1.000000000000000000e+00 -7.465902486386408743e-01 -6.858501738358702138e-01 7.262168443920871130e-01 5.887376206593386563e-02 5.837061544876636088e-01 8.490422182310868315e-01 9.129920505174233814e-01 -1.643225716602847442e-02 -6.047824574550406673e-01 -5.776502040891366985e-01 -1.540437041848519151e-02 -6.840768669504329047e-01 7.770186405405723473e-01
7 3457.35742188 3.256419117075015635e-02 2.248943710869752977e-01 3.984806837194909690e-02 -9.491172525146107652e-01 -9.135727146868211079e-02 6.474016610388995119e-01 -3.479070024372354908e-02 -6.860436819511006590e-01 -1.610703562139437217e-02 -4.413501447648346954e-01 -1.263328199875743962e-01 -5.506024322088818312e-01 -1.009217388343317534e-01 -7.573470873502867740e-01 -5.225721142672907771e-01 9.301954948684960645e-01 -2.374284201773639857e-01 -3.272294166134512849e-01 5.912344835936425014e-01 6.583780273389463478e-01 -5.258875901570165823e-01 -6.870524136455897768e-01 1.762058332785130244e-01 -9.808272253369998417e-01 -3.394982459242950057e-01 -8.685270224968599795e-01 5.508559462450923760e-01 -9.747441439098158966e-02 -7.677839671191080129e-01 4.248379639103085914e-01 7.810603763249173159e-01 8.437126201753570864e-01 -3.196485349064226433e-01 -1.238229945691942113e-01 -3.308525284207795014e-01 -2.505109571781951594e-01 -6.327223924968401469e-01 5.682996272531319892e-01 4.521582408363045147e-01 -6.933271397062050756e-01 -4.781475530440362220e-01 8.861648023225612292e-01 -3.980397741696828362e-02 -3.410617355623239977e-01 2.608189417599624527e-01 -3.087978234303752068e-01 -9.117750853069834793e-01 -9.841941932812636740e-01 -9.044023858558007944e-01 -3.467534072506321952e-01 -4.243911290065660591e-01 -7.022609943643411956e-01 5.563800032887231684e-01 2.696002976378955029e-01 8.922338045949724794e-01 -6.349551642875022051e-01 -9.302041528928679526e-01 -1.891630345305674865e-01 7.812446278251585774e-01 -7.772600670636433673e-01 -7.141959207221977302e-01 4.384623744848517024e-01 6.980666859774584676e-01 7.862958505779411578e-01 -2.753228480185248017e-01 1.068019887061064654e-01 5.301815119107811114e-02 6.702491604144926729e-01 8.598951887935331051e-01 -4.606013780613411601e-01 3.667425323643296320e-01 8.099535406700333340e-01 -6.850813946532698928e-01 5.749872619062703638e-01 4.239634543492918350e-01 3.666581914730189240e-01 -9.023609896093229832e-01 1.000000000000000000e+00 -6.604874911524261094e-01 8.720826393938978516e-01 6.490773732158063858e-01 -5.648526993596791890e-01 3.343197379405484782e-01 -7.372492980273579466e-01 9.278249872539443555e-01 7.179756619210202473e-01 1.000000000000000000e+00 -7.556107615622391638e-01 -6.947257459585036710e-01 7.326721880744060389e-01 6.662813636140696438e-02 5.935169626023710787e-01 8.412596644428123049e-01 9.226861089654996295e-01 -7.848017645895932759e-03 -6.145694730719344356e-01 -5.687877431257086780e-01 -5.508811018165138407e-03 -6.903963595401152453e-01 7.702925557978772542e-01
8 3457.0871582 4.265004678141881556e-02 2.349298635667764756e-01 4.813637921267499564e-02 -9.587825079494218805e-01 -8.162207557116252232e-02 6.373162356992603250e-01 -4.431591642828003330e-02 -6.958360284584115263e-01 -6.254534057666516489e-03 -4.505744049907267623e-01 -1.169208405208976842e-01 -5.409047360148291350e-01 -9.282602177674603716e-02 -7.674165926618354838e-01 -5.324603097000133456e-01 9.393974424681454938e-01 -2.284620021941896617e-01 -3.371888414593255945e-01 5.992434479534027858e-01 6.487027778815870338e-01 -5.182406793107832144e-01 -6.819984817983750780e-01 1.864080390184283953e-01 -9.894816884419035397e-01 -3.476591490428457831e-01 -8.584772267649578570e-01 5.597936021931948503e-01 -1.036247704192105878e-01 -7.687546521587549364e-01 4.149591720416219154e-01 7.731458033707394595e-01 8.502040786844744513e-01 -3.106427610938902184e-01 -1.137831481563567060e-01 -3.406348268888328423e-01 -2.420283445087272334e-01 -6.427653932992378749e-01 5.782783053305913246e-01 4.602338012794078281e-01 -6.831560885690557416e-01 -4.874756054455788856e-01 8.770206516705698618e-01 -4.961918975613111016e-02 -3.312575901293153269e-01 2.513720935760921371e-01 -2.997406033588210228e-01 -9.219316087432913864e-01 -9.941867275759881384e-01 -9.067444842483469714e-01 -3.366928975838316962e-01 -4.340820470349207039e-01 -7.121754801020225845e-01 5.663369731682907915e-01 2.779517176902450704e-01 9.020104722867396951e-01 -6.446831321905202028e-01 -9.399417925808233321e-01 -1.970847749432795837e-01 7.729909836046275906e-01 -7.675915380299824786e-01 -7.235229579821340629e-01 4.283670231092122638e-01 6.921374478145236875e-01 7.760706728354003214e-01 -2.839917699063994050e-01 1.167709819601123744e-01 5.970991483425347468e-02 6.755933822485860052e-01 8.695241785272886936e-01 -4.705743573759664233e-01 3.573722510032861788e-01 8.053013073413630707e-01 -6.762339447470995246e-01 5.687529043071013479e-01 4.142766890882974007e-01 3.758532919890997803e-01 -9.006325228973846020e-01 1.000000000000000000e+00 -6.510302335761393167e-01 8.819400723106582962e-01 6.577999597730754822e-01 -5.695494336092710164e-01 3.441474784309850321e-01 -7.469133818583701956e-01 9.336513403494162144e-01 7.077569950545985478e-01 1.000000000000000000e+00 -7.638160207810511526e-01 -7.038976360533799603e-01 7.357953133686294667e-01 7.416866362692586812e-02 6.029842225831092417e-01 8.341411161762226634e-01 9.323520880379512210e-01 9.866209869380249131e-04 -6.241069314917342403e-01 -5.602115716530400302e-01 4.323831022981616812e-03 -6.978514207299455485e-01 7.649700402990304848e-01
9 3456.82763672 5.268544426631738276e-02 2.450777322223984811e-01 5.671527666651954291e-02 -9.686550105967621782e-01 -7.187176896486979771e-02 6.273442305480481096e-01 -5.379557510645405216e-02 -7.048515643941710707e-01 3.338149928162836844e-03 -4.597372435615003639e-01 -1.072848016065748311e-01 -5.320900360669951201e-01 -9.163274272552413002e-02 -7.774602854369061511e-01 -5.422408526250135363e-01 9.482743435880929272e-01 -2.197039322468277156e-01 -3.470005576135433145e-01 6.054552372782824321e-01 6.393490144577269607e-01 -5.110782578346872995e-01 -6.791507430015299995e-01 1.966149954347968798e-01 -9.979722881337713680e-01 -3.552542988430271720e-01 -8.483671539733814715e-01 5.685541922994437058e-01 -1.106842681779567350e-01 -7.730333455069242632e-01 4.050563473938972869e-01 7.649830813792004580e-01 8.551675204363717864e-01 -3.021713559602852150e-01 -1.037242180126427549e-01 -3.504540886185500970e-01 -2.336086920392710375e-01 -6.527303958360115566e-01 5.883430189874936378e-01 4.680590874070347240e-01 -6.729882216237890180e-01 -4.968186120937021499e-01 8.683852294557041773e-01 -5.945058196238273140e-02 -3.216220699616665346e-01 2.419503855138009918e-01 -2.930851640900233868e-01 -9.321257380538396919e-01 -1.000000000000000000e+00 -9.097118253528693188e-01 -3.266843892443074271e-01 -4.437006217883243675e-01 -7.219888754308423362e-01 5.764038158285986757e-01 2.865217759615339421e-01 9.117630131358889223e-01 -6.542326875592416879e-01 -9.498658141303462088e-01 -2.056247077232473686e-01 7.645041092030582242e-01 -7.580574035004514766e-01 -7.328701276421658584e-01 4.181614022094157779e-01 6.901033831993783618e-01 7.658222455561067843e-01 -2.915899679253675103e-01 1.267969162763302737e-01 6.647946533282844683e-02 6.801044866795893373e-01 8.790415064096381847e-01 -4.806332362969387706e-01 3.477452664070337374e-01 7.999833688273092491e-01 -6.675545734199377357e-01 5.620558540113311796e-01 4.051656441598658898e-01 3.845429078645823395e-01 -9.008743708535884576e-01 1.000000000000000000e+00 -6.413163333006108857e-01 8.919265846736152969e-01 6.664729254635690658e-01 -5.715244384033471015e-01 3.538225192720876322e-01 -7.560355505036329138e-01 9.392604242701334538e-01 6.975348040635545033e-01 1.000000000000000000e+00 -7.713934768492987093e-01 -7.132285755549039319e-01 7.357906208216207222e-01 8.243847188206188115e-02 6.123535512011588633e-01 8.273904086616385989e-01 9.420660525747373004e-01 9.895162860035444652e-03 -6.336175929670946338e-01 -5.520710766060668018e-01 1.430530679345509704e-02 -7.059488365199073634e-01 7.611152454056167027e-01
