iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 3318.28710938 8.866288712084211543e-01 1.259709975785754388e-01 -5.540164394254682989e-01 9.485800296077491200e-01 -2.552821172821915230e-01 1.410694849286653341e-01 9.289262462267662279e-01 -3.446324154238828985e-01 9.752193408274714148e-01 7.539021685735858291e-01 2.472326743003436800e-01 -7.112628842646002703e-01 9.532308553459674094e-01 4.632581425070825265e-01 6.713869780364509765e-01 -2.996988968460596592e-01 2.491628431396117893e-01 -6.159755309831536074e-01 -4.410316502207494160e-01 -2.430590434419355184e-02 2.784403816153926403e-01 -8.444604040450898186e-01 7.140448107871995020e-01 1.144701131139780337e-01 5.810982148081405008e-01 -8.794973194117272630e-01 -4.731128462310549843e-01 -1.167038107146123327e-01 8.104171913303470642e-01 -6.902668743600659518e-01 -1.451228228897003536e-01 7.710937839898157620e-02 -2.951909809731154688e-01 -2.380713468437620772e-01 2.430691930415171953e-01 3.933412438494583441e-01 6.526114894071752826e-01 3.752426402290698348e-01 -5.813513327950998733e-01 4.793232590246407909e-01 -6.372393677155328007e-01 4.325548863407080447e-03 4.221087241834180492e-01 9.601403442496603269e-01 -5.100105286673843885e-01 8.040623300914997440e-01 3.335868879576404655e-01 7.007973363469637285e-01 4.091587226139665745e-01 5.136206568388428373e-01 -4.342770467947636437e-01 3.511966965808710484e-01 9.837265352692710074e-01 -7.154078377038837200e-01 5.033296595746701296e-01 8.488167889407449707e-01 -6.248048522787241765e-02 9.175707228908192015e-01 8.915206064333514036e-01 8.323802541176126280e-01 9.967336330002682931e-01 -6.790056042266168213e-02 7.525151286073199497e-01 9.120005190526112582e-01 9.434277326712354750e-01 -5.884035239188456501e-02 4.517690993553507006e-01 2.020572325438261263e-01 -7.644156242256749945e-01 -2.208314622851044184e-01 8.294021315955268925e-02 -5.447599292049498665e-02 -1.409260323986405439e-01 -9.234606798482636325e-01 2.203092150847982822e-01 3.525090163668185284e-01 3.819262863283647835e-01 -6.574112697351575108e-02 3.159926510560846502e-01 -1.137296434750969532e-01 -6.043552484573166961e-01 9.202460470285234173e-01 4.687997164822290674e-01 9.966610488157281456e-01 -9.609854375073534349e-01 -9.960639620808022787e-01 6.760205115601698456e-01 -4.002413887714568741e-01 3.525956478864076260e-01 6.971157984860265611e-01 -2.926471759245949933e-01 -7.763631178076495498e-01 1.964661270526544268e-01 -5.160255580130104214e-01 3.790964236553755473e-01 -9.562312682102980244e-01 6.181642333604300266e-01 3.145975015400910291e-01 9.677828463469668741e-01 1.748223622455258308e-02
1 3317.93798828 8.966288719162263110e-01 1.359709964237354463e-01 -5.640164401332734556e-01 9.585800293842317021e-01 -2.652821161273515305e-01 1.510694847051479162e-01 9.389262460032488100e-01 -3.346324156474003164e-01 9.652193410509888327e-01 7.639021674187458366e-01 2.572326740768262621e-01 -7.012628844881176882e-01 9.632308541911274169e-01 4.732581394895973848e-01 6.813869778129335586e-01 -2.896988970695770771e-01 2.591628429160943714e-01 -6.259755307596361895e-01 -4.510316490659094235e-01 -3.430590412067613393e-02 2.884403813918752224e-01 -8.544604028902498261e-01 7.240448105636820841e-01 1.044701133374954516e-01 5.910982155159456575e-01 -8.694973196352446809e-01 -4.631128473858949768e-01 -1.067038146634200491e-01 8.204171911068296463e-01 -6.802668755149059443e-01 -1.351228221818951969e-01 6.710938421043444180e-02 -2.851909821279554613e-01 -2.280713470672794951e-01 2.530691928179997774e-01 3.833412440729757620e-01 6.626114882523352900e-01 3.852426390742298423e-01 -5.713513330186172912e-01 4.693232601794807834e-01 -6.472393674920153828e-01 1.432554770856708792e-02 4.121087234756128925e-01 9.701403430948203344e-01 -5.000105288909018064e-01 8.140623298679823261e-01 3.235868891124804581e-01 6.907973356391585718e-01 4.191587223904491566e-01 5.236206566153254194e-01 -4.442770465712462258e-01 3.611966963573536304e-01 9.937265341144310149e-01 -7.254078365490437275e-01 5.133296602824752863e-01 8.388167891642623886e-01 -5.248048545138983556e-02 9.075707231143366194e-01 9.015206062098339856e-01 8.423802538940952100e-01 1.000000000000000000e+00 -7.790056019914426422e-02 7.425151316248050914e-01 9.020005202074512507e-01 9.534277324477180571e-01 -6.884035216836714710e-02 4.417690986475455439e-01 1.920572327673435442e-01 -7.744156240021575766e-01 -2.308314620615870005e-01 9.294020827942239826e-02 -4.447599314401240456e-02 -1.509260321751231260e-01 -9.334606796247462146e-01 2.303092148612808643e-01 3.425090165903359463e-01 3.919262851735247910e-01 -5.574112719703316898e-02 3.059926540735697920e-01 -1.237296432515795352e-01 -6.143552473024767036e-01 9.102460472520408352e-01 4.787997162587116495e-01 1.000000000000000000e+00 -9.709854344898682932e-01 -9.860639613729971220e-01 6.660205108523646889e-01 -3.902413889949742920e-01 3.625956467315676335e-01 6.871157996408665536e-01 -3.026471757010775754e-01 -7.863631175841321319e-01 1.864661272761718447e-01 -5.260255568581704289e-01 3.890964225005355548e-01 -9.662312670554580318e-01 6.281642322055900340e-01 3.245975003852510365e-01 9.777828461234494561e-01 2.748223693235773979e-02
2 3317.6015625 9.065791595563210681e-01 1.459715400926016038e-01 -5.739360611836312742e-01 9.685585649693371213e-01 -2.752258966166174492e-01 1.610720875282265485e-01 9.489315850520516626e-01 -3.247696378703841535e-01 9.552661625856224692e-01 7.738642744736350387e-01 2.672274482023426767e-01 -6.912493842595934801e-01 9.690200964103072856e-01 4.815686316400829003e-01 6.913525046843167488e-01 -2.798243473752177746e-01 2.691728665174475399e-01 -6.359728092115557452e-01 -4.609134053343511006e-01 -4.355555126862964421e-02 2.984460613047403843e-01 -8.644613349206295982e-01 7.338942527327523280e-01 9.448373508498919549e-02 6.011042996228082025e-01 -8.596458984057033792e-01 -4.532359880115506279e-01 -1.124076387700239099e-01 8.303983120434021981e-01 -6.702535745894127039e-01 -1.251911134958414440e-01 7.266504327732015156e-02 -2.753236613594203241e-01 -2.180891653542944564e-01 2.630804876746672960e-01 3.733513407645245863e-01 6.725276671344573298e-01 3.933251956125136672e-01 -5.613489509189888427e-01 4.605341790530292911e-01 -6.572510525728416653e-01 1.547257134355217723e-02 4.042298155194299358e-01 9.784688302600925702e-01 -4.900281087593376661e-01 8.240273091216916423e-01 3.182358825934310520e-01 6.812487553651727090e-01 4.291520166443945072e-01 5.336067796854462308e-01 -4.542455126966749024e-01 3.711543824239811329e-01 1.000000000000000000e+00 -7.354209987074733501e-01 5.232762235635941561e-01 8.289842430493408187e-01 -4.251835138814596959e-02 8.978819294327746725e-01 9.113052842070654691e-01 8.522295656780050077e-01 1.000000000000000000e+00 -8.791131768268622970e-02 7.465315631389788376e-01 8.921463720654114748e-01 9.634222690859779448e-01 -7.882432108937287296e-02 4.321382388180601275e-01 1.909354017572477691e-01 -7.844163204079259710e-01 -2.408047664077908045e-01 8.805464604952084606e-02 -3.452853020528645622e-02 -1.605149582743639058e-01 -9.434709723783234470e-01 2.402964229222011028e-01 3.325861740951925327e-01 4.014346295183195412e-01 -4.574022496897578449e-02 2.968047415051198179e-01 -1.335196381693894985e-01 -6.243547693104785079e-01 9.002920659866151532e-01 4.883194665110777155e-01 1.000000000000000000e+00 -9.807255589464527468e-01 -9.760853345182793905e-01 6.560459725037495193e-01 -3.802408183177534706e-01 3.726007222160818699e-01 6.775190569512570260e-01 -3.124202484877067754e-01 -7.963623080412973732e-01 1.765362430510417635e-01 -5.360391315925006062e-01 3.988920500572767924e-01 -9.758177353944244015e-01 6.377518097497427707e-01 3.340680227889680776e-01 9.877529569645449037e-01 3.749572132839817939e-02
3 3317.25415039 9.163308417260564998e-01 1.559759580633781617e-01 -5.838120432521103353e-01 9.784855630258084691e-01 -2.850575654256737312e-01 1.710719708893873037e-01 9.589628027612353556e-01 -3.149665355186590521e-01 9.454231679627362883e-01 7.838623790086782783e-01 2.772326075058886286e-01 -6.812151695543646746e-01 9.766398303324907992e-01 4.896565935745897935e-01 7.012345226544018928e-01 -2.705225629268921406e-01 2.791988753394714085e-01 -6.459754083093440791e-01 -4.707176317924237630e-01 -5.297313822852811604e-02 3.082716066678685696e-01 -8.743859152636972443e-01 7.438083622161135722e-01 8.446729280845177712e-02 6.110489918768746698e-01 -8.498206799367988840e-01 -4.440241637359974014e-01 -1.199859740067819036e-01 8.403862120769953759e-01 -6.606068897267394213e-01 -1.152917747885136013e-01 8.036158383789349102e-02 -2.654912642561106928e-01 -2.081439655294248237e-01 2.729944779487389894e-01 3.633317040515562368e-01 6.823694007465774813e-01 4.021573010479446708e-01 -5.513206156531735846e-01 4.514917362767665310e-01 -6.672760658110332699e-01 1.568794518955596295e-02 3.955654245158808369e-01 9.842206007154827851e-01 -4.800474227504074598e-01 8.339517823626632076e-01 3.146244492736836040e-01 6.714953036825455079e-01 4.391681646229983471e-01 5.435912543146099729e-01 -4.641923041518245530e-01 3.811351811229428677e-01 1.000000000000000000e+00 -7.454557358846665149e-01 5.327314657578294810e-01 8.190587826064401611e-01 -3.263418951349406072e-02 8.883149024525534010e-01 9.206362712060407461e-01 8.621638969684288778e-01 1.000000000000000000e+00 -9.787482172143735504e-02 7.504840244338086830e-01 8.822160044838651682e-01 9.733490175479992956e-01 -8.866456365405106510e-02 4.224915967962252772e-01 1.947147886259481542e-01 -7.943957286422838049e-01 -2.507086266862184054e-01 8.173317393370616024e-02 -2.458577323953003990e-02 -1.701643765687936849e-01 -9.535025356081823222e-01 2.503162393804263530e-01 3.226062387322574665e-01 4.110886103620423615e-01 -3.572124111313224049e-02 2.877455665874815161e-01 -1.430881189441497447e-01 -6.343625167594593162e-01 8.902932359512862881e-01 4.977019658929775492e-01 1.000000000000000000e+00 -9.905429552370530466e-01 -9.661234276977437307e-01 6.460331009179631767e-01 -3.702702064251128800e-01 3.826100370809557560e-01 6.693629864655459283e-01 -3.222309569508987614e-01 -8.063880952085484832e-01 1.665970884410039599e-01 -5.460737924012426525e-01 4.086226163502779674e-01 -9.853802743311586010e-01 6.474941582046354061e-01 3.421747769503855618e-01 9.977501907129808778e-01 4.748952035917897163e-02
4 3316.91748047 9.259886065333999827e-01 1.660054733148954575e-01 -5.935239374588130445e-01 9.883823014805079854e-01 -2.947466738942658981e-01 1.810631501097657026e-01 9.690242446819330446e-01 -3.052155574287900297e-01 9.356101302617851889e-01 7.939044913293398231e-01 2.872168586176344629e-01 -6.712494657316923075e-01 9.847594535092443202e-01 4.983899834737244294e-01 7.109658917474623863e-01 -2.611483755989707500e-01 2.892536201195350376e-01 -6.560066167053020258e-01 -4.793203459584689519e-01 -6.262265151786050588e-02 3.181942135384006054e-01 -8.843772434956875816e-01 7.537944117117509890e-01 7.441296246693385186e-02 6.209285297349436128e-01 -8.399093811849678293e-01 -4.363358621205803978e-01 -1.284636171389916814e-01 8.503673143871164353e-01 -6.515188195949010996e-01 -1.053821030572203998e-01 8.855665997567463421e-02 -2.555632454700975664e-01 -1.981907684376069678e-01 2.828946036236423822e-01 3.532811669868847204e-01 6.921583628276521960e-01 4.111367361267443954e-01 -5.412675733307763526e-01 4.420781623858420772e-01 -6.773181688184690685e-01 1.944453956805713979e-02 3.869458785569446224e-01 9.882183894800191659e-01 -4.700195224122345472e-01 8.438898389433855396e-01 3.164700898696859444e-01 6.616470508124030481e-01 4.491714631440402172e-01 5.536242853088464422e-01 -4.739653806637440514e-01 3.909493336170157818e-01 1.000000000000000000e+00 -7.554883682728410488e-01 5.420321056107109126e-01 8.090698972335630401e-01 -2.273747434185890981e-02 8.789286787116776800e-01 9.299160866861537755e-01 8.721506170163200178e-01 1.000000000000000000e+00 -1.078830534581569633e-01 7.513792251384987519e-01 8.723310118694767024e-01 9.832931128242954344e-01 -9.810811681865239109e-02 4.127583212858545458e-01 2.007572467429563634e-01 -8.043788975571979361e-01 -2.604814517410427577e-01 7.398326067336546963e-02 -1.476210356006713020e-02 -1.799649103328579969e-01 -9.635636534286240451e-01 2.603676025282215534e-01 3.125782368799239208e-01 4.202515504469765961e-01 -2.582908755946755619e-02 2.785857436392045194e-01 -1.521926921120102527e-01 -6.443618506403010482e-01 8.805504907529768666e-01 5.073192582151959673e-01 1.000000000000000000e+00 -9.997079330557805399e-01 -9.563208385047572424e-01 6.359811072647849617e-01 -3.602981677462879784e-01 3.926287359520914677e-01 6.607560962490761636e-01 -3.321175067366319844e-01 -8.164198586727609008e-01 1.565943421942488367e-01 -5.555372404786829144e-01 4.184539517458525371e-01 -9.951113444696726429e-01 6.573652536235654598e-01 3.490267439088785562e-01 1.000000000000000000e+00 5.752633624835867820e-02
5 3316.58837891 9.352899467408575251e-01 1.760848404011867707e-01 -6.029391225377915831e-01 9.981701953345896161e-01 -3.041773077521121582e-01 1.909930818323470891e-01 9.790931688481951944e-01 -2.954515547927150099e-01 9.258801311442319548e-01 8.034043895097053856e-01 2.972014999535390611e-01 -6.614472211280584268e-01 9.934075063208669398e-01 5.075100296348395990e-01 7.205517398255940620e-01 -2.515506317375935108e-01 2.993137013779512134e-01 -6.660869197707808276e-01 -4.869355848522460839e-01 -7.229405461298665792e-02 3.281690703993362934e-01 -8.943338650606122986e-01 7.637489694658503581e-01 6.433883965806019845e-02 6.302266736433250749e-01 -8.319512437547171846e-01 -4.279764168616053688e-01 -1.374678831402758039e-01 8.603241417743301422e-01 -6.432860714589767603e-01 -9.543338935227674291e-02 9.712275826337624096e-02 -2.456006466768889673e-01 -1.881668671985694541e-01 2.927807724984425874e-01 3.431861303982755018e-01 7.020375318819815913e-01 4.204822219555612861e-01 -5.311967017690106818e-01 4.325777408021895809e-01 -6.874045226867151470e-01 2.495318034910209981e-02 3.825153437731938499e-01 9.897053664602508682e-01 -4.599533298150837446e-01 8.538182339837188106e-01 3.184360044897724951e-01 6.517141826297438989e-01 4.591873792233229779e-01 5.636648050679053945e-01 -4.836838444198880982e-01 4.002672690614303974e-01 1.000000000000000000e+00 -7.651946158707738643e-01 5.515230267727797564e-01 7.990234859278970703e-01 -1.323542480634598562e-02 8.700355502271901464e-01 9.391761730288461507e-01 8.820656811053202428e-01 1.000000000000000000e+00 -1.179225059215454063e-01 7.497070734071715759e-01 8.623620242034062411e-01 9.931502020830258459e-01 -1.077717154306032654e-01 4.033524233555900729e-01 2.075546996658668153e-01 -8.143082788681377249e-01 -2.700297302665144450e-01 6.720072148450362270e-02 -4.952614198125315781e-03 -1.898803869977587766e-01 -9.735690511507490985e-01 2.704020649652552066e-01 3.029177432974368145e-01 4.294069756900562584e-01 -1.614764108169675083e-02 2.691835980075931722e-01 -1.610145585870559337e-01 -6.543236037926118964e-01 8.708235473047909458e-01 5.171029806754658953e-01 1.000000000000000000e+00 -1.000000000000000000e+00 -9.465762101722019484e-01 6.258930574581305084e-01 -3.503074271788422234e-01 4.026771309748413685e-01 6.522555528260791657e-01 -3.420386244223672101e-01 -8.264515224854578346e-01 1.465399699432150538e-01 -5.651973186913017422e-01 4.283302094858136844e-01 -1.000000000000000000e+00 6.668461267463767772e-01 3.520174223273062619e-01 1.000000000000000000e+00 6.760257874741215645e-02
6 3316.27099609 9.435869589283980563e-01 1.862037896282218163e-01 -6.122619343872068853e-01 1.000000000000000000e+00 -3.137014035556113800e-01 2.008560142089106382e-01 9.890980170900012247e-01 -2.855914182465204565e-01 9.162676379272405303e-01 8.126783274130500168e-01 3.071844537329384561e-01 -6.517163186276078157e-01 1.000000000000000000e+00 5.146860116332832025e-01 7.301745437148090545e-01 -2.422536193861402065e-01 3.093506197126141277e-01 -6.762230239596402903e-01 -4.945883048230386159e-01 -8.211436780589065343e-02 3.379399359514636547e-01 -9.043772067270723358e-01 7.737312890145764399e-01 5.427721147284758629e-02 6.384398798376662576e-01 -8.266934044177258745e-01 -4.196003474946734535e-01 -1.467894889269569791e-01 8.702440375648474724e-01 -6.346759914626889376e-01 -8.551170635373872564e-02 1.061258731499581387e-01 -2.355516332559495218e-01 -1.781643370186516417e-01 3.026675402136582704e-01 3.331401149047037435e-01 7.119044000277454654e-01 4.300430751984354316e-01 -5.210951570982500503e-01 4.232687590930073185e-01 -6.975071756313395710e-01 3.181703983121164647e-02 3.815556004350224573e-01 9.901901000115258533e-01 -4.498800554410755659e-01 8.637285548468465191e-01 3.200139918253948057e-01 6.420373685504592309e-01 4.692640417488576077e-01 5.737234679220404310e-01 -4.934340048085366082e-01 4.096447309195241360e-01 1.000000000000000000e+00 -7.741441852972508197e-01 5.612143992865508135e-01 7.889945434397631630e-01 -3.818961021472500050e-03 8.614631589928518629e-01 9.483505143647388280e-01 8.916626901531861105e-01 1.000000000000000000e+00 -1.278667995695499382e-01 7.483306193872525380e-01 8.523134838943347003e-01 1.000000000000000000e+00 -1.174909410086133477e-01 3.943136295011746562e-01 2.149698690501973264e-01 -8.242148278748382406e-01 -2.794283415289551264e-01 6.047796901398050373e-02 4.684652199350880508e-03 -1.998916473954910344e-01 -9.833702163515189998e-01 2.804376543026041446e-01 2.932894688194185306e-01 4.388246706833733857e-01 -6.583332632070781898e-03 2.606416014168000395e-01 -1.700091071685965183e-01 -6.642521096603315467e-01 8.609793168168482502e-01 5.270101853332589403e-01 1.000000000000000000e+00 -1.000000000000000000e+00 -9.368024640393513014e-01 6.157599903121868667e-01 -3.402896354158941872e-01 4.126474010720970753e-01 6.432787096180045960e-01 -3.520136722044306943e-01 -8.364359086389769882e-01 1.364889579040304834e-01 -5.749266565698269993e-01 4.383036842640486430e-01 -1.000000000000000000e+00 6.756219402514302974e-01 3.536284085172229918e-01 1.000000000000000000e+00 7.768446878655810295e-02
7 3315.95727539 9.516142312273301318e-01 1.963366714409731095e-01 -6.217086410100458593e-01 1.000000000000000000e+00 -3.232398063365018448e-01 2.106636949424125493e-01 9.989836318278695337e-01 -2.757134207959899275e-01 9.066064877623383200e-01 8.219709858314669937e-01 3.172214521613427873e-01 -6.419528524333357744e-01 1.000000000000000000e+00 5.185662865810158895e-01 7.399577381151791755e-01 -2.327211528553403408e-01 3.193972023816338268e-01 -6.864112244706785937e-01 -5.028652246573543927e-01 -9.207354398863754064e-02 3.464261630838436634e-01 -9.144852902136293427e-01 7.837437722388491679e-01 4.417448867903006615e-02 6.455392954789442861e-01 -8.227639826464081541e-01 -4.107048962916848289e-01 -1.563231894601682104e-01 8.800754595734214814e-01 -6.263655747493319659e-01 -7.559336214663070486e-02 1.153783785268931439e-01 -2.254505924307017573e-01 -1.682634802555271758e-01 3.122781605409521433e-01 3.230374070120474173e-01 7.217107368627722064e-01 4.392918329333301841e-01 -5.110128237495585868e-01 4.143378580275385303e-01 -7.076794933671903820e-01 3.962695913635738698e-02 3.820254873656818706e-01 9.922996594972146589e-01 -4.398050637082397962e-01 8.736514355262154918e-01 3.186293568351497019e-01 6.323748642425335298e-01 4.793591966154338024e-01 5.838010906411494894e-01 -5.030172023426209282e-01 4.190073968558749584e-01 1.000000000000000000e+00 -7.830983806029558902e-01 5.709864848712509211e-01 7.789093527934127792e-01 5.837595860491706645e-03 8.537340179512153959e-01 9.575331901063517392e-01 9.014039294028923788e-01 1.000000000000000000e+00 -1.373428018752960167e-01 7.447568573671563552e-01 8.421880619754060771e-01 1.000000000000000000e+00 -1.273607810047128197e-01 3.856691641441094553e-01 2.230727712614462011e-01 -8.340439802502979116e-01 -2.889063415216237551e-01 5.445456435986506527e-02 1.401570718487410439e-02 -2.099946765944356031e-01 -9.930959351105193011e-01 2.904668193768333850e-01 2.835029719491988232e-01 4.481865142618908227e-01 3.006404649132488061e-03 2.541079442161655599e-01 -1.791457327341849926e-01 -6.742022650526207084e-01 8.510376494985041340e-01 5.369797709084223047e-01 1.000000000000000000e+00 -1.000000000000000000e+00 -9.270423869279282858e-01 6.055648663491288719e-01 -3.302656205555025704e-01 4.226120636761310223e-01 6.339792134292447923e-01 -3.620688519121366689e-01 -8.463439114402164787e-01 1.263575960097209627e-01 -5.848171318802122265e-01 4.483782662149515819e-01 -1.000000000000000000e+00 6.845211456157171970e-01 3.540412276675926062e-01 1.000000000000000000e+00 8.768621106757779060e-02
8 3315.64501953 9.600137187004007533e-01 2.064699285767219727e-01 -6.311227187464831800e-01 1.000000000000000000e+00 -3.329542644742524704e-01 2.204089053515769780e-01 1.000000000000000000e+00 -2.657791835691460935e-01 8.968878563681308425e-01 8.315052330510295242e-01 3.272966478538223978e-01 -6.320905039960265093e-01 1.000000000000000000e+00 5.204555833883646176e-01 7.497579803752776328e-01 -2.230246301277316601e-01 3.295357559488645283e-01 -6.966497517910039683e-01 -5.111119873353815457e-01 -1.020968109970017412e-01 3.536729456213933975e-01 -9.246508316464272514e-01 7.935191975463018466e-01 3.404710912004960122e-02 6.517472561367196882e-01 -8.221417842533054188e-01 -4.020468485261914360e-01 -1.660468127433756269e-01 8.896984152682161362e-01 -6.201029701364748625e-01 -6.569290398956817434e-02 1.248890325516729405e-01 -2.152589069105892428e-01 -1.583196969722935332e-01 3.216521755741972299e-01 3.128568731484433485e-01 7.314606467256481448e-01 4.484501974304553329e-01 -5.008580055648848006e-01 4.057832531917302532e-01 -7.179201003308248730e-01 4.810912849627979604e-02 3.831136008897015888e-01 9.967297146498395044e-01 -4.297244169847309614e-01 8.835027878378862720e-01 3.144013763294746244e-01 6.227180773238933931e-01 4.895150634693266056e-01 5.939005305228914899e-01 -5.123566634457026314e-01 4.279196882336577801e-01 1.000000000000000000e+00 -7.910996410623789554e-01 5.808124167332475718e-01 7.687581500029736503e-01 1.568707807643265895e-02 8.468630836771677828e-01 9.667123771136001409e-01 9.113176868463204183e-01 1.000000000000000000e+00 -1.465275349084762535e-01 7.423413043989970372e-01 8.319893784974679019e-01 1.000000000000000000e+00 -1.373510810565807816e-01 3.775475907778846896e-01 2.317675783289596669e-01 -8.439059757163513975e-01 -2.983366438286334521e-01 4.730531038799035137e-02 2.330238837500719917e-02 -2.201598557427519864e-01 -1.000000000000000000e+00 3.003950821693610607e-01 2.737981399615794231e-01 4.570709162538542092e-01 1.261805222522616177e-02 2.478420399274265939e-01 -1.885201258843953731e-01 -6.841395393223803634e-01 8.410045048829135617e-01 5.470178235939811007e-01 1.000000000000000000e+00 -1.000000000000000000e+00 -9.173301853847759535e-01 5.953017213791886864e-01 -3.201790217494193680e-01 4.325404046997549656e-01 6.244078241340840218e-01 -3.721732659877496907e-01 -8.562362615029444068e-01 1.161691272777811701e-01 -5.948376933964971691e-01 4.585495473887768458e-01 -1.000000000000000000e+00 6.935457321442568546e-01 3.551520673250780913e-01 1.000000000000000000e+00 9.761741777076382576e-02
9 3315.33984375 9.685306049719371035e-01 2.166550883195541566e-01 -6.403955651397703619e-01 1.000000000000000000e+00 -3.428006314161813339e-01 2.300836248863913358e-01 1.000000000000000000e+00 -2.558819850410947172e-01 8.872023632937733328e-01 8.412335362301743835e-01 3.374115374457546945e-01 -6.222057283797979288e-01 1.000000000000000000e+00 5.210018115871648536e-01 7.596357328879710380e-01 -2.131717374085224659e-01 3.394570300967922893e-01 -7.069285029333269854e-01 -5.198435890951729199e-01 -1.120481147100254038e-01 3.604448844967109711e-01 -9.348932453758564964e-01 8.031541533324704218e-01 2.400527712748301568e-02 6.584579568274659955e-01 -8.230307985895859435e-01 -3.936276412289259063e-01 -1.759568467591503538e-01 8.991469770856237442e-01 -6.151474264656715540e-01 -5.584753356279414938e-02 1.346388679087429097e-01 -2.049775340952186831e-01 -1.485156847184130324e-01 3.306566455351251932e-01 3.026218373564502073e-01 7.410938050592477122e-01 4.572664834206339179e-01 -4.906476051176353881e-01 3.985730916547982616e-01 -7.282242830986929150e-01 5.706738623105533925e-02 3.868984709200600225e-01 1.000000000000000000e+00 -4.197338459179937864e-01 8.934082071503037792e-01 3.082422411889960134e-01 6.129091523434317956e-01 4.997486007632971905e-01 6.039647310210551900e-01 -5.211024920891438317e-01 4.369381857752046017e-01 1.000000000000000000e+00 -7.977149114572108513e-01 5.907708543771927889e-01 7.585132366037541374e-01 2.570410894883723429e-02 8.414689257236074305e-01 9.758078819935516179e-01 9.213827348480270185e-01 1.000000000000000000e+00 -1.552322661493448219e-01 7.424448520442641364e-01 8.218737885509594943e-01 1.000000000000000000e+00 -1.474389930274941918e-01 3.693184785252916491e-01 2.409031487060711019e-01 -8.534897143488515692e-01 -3.079380580322772509e-01 3.929976677604662960e-02 3.239090461035876167e-02 -2.304224307432765073e-01 -1.000000000000000000e+00 3.103427639688920436e-01 2.641973795463830044e-01 4.655828320568098366e-01 2.218020559441447048e-02 2.432480673450565511e-01 -1.980924148371632221e-01 -6.939847719134133452e-01 8.309764611210641583e-01 5.569343284390042559e-01 1.000000000000000000e+00 -1.000000000000000000e+00 -9.075906690818327238e-01 5.849655160159150658e-01 -3.100409683024112351e-01 4.424694973006966237e-01 6.146077448554361222e-01 -3.822913658485966870e-01 -8.661387145529617637e-01 1.059859903675810511e-01 -6.049115628856305271e-01 4.688155673515048694e-01 -1.000000000000000000e+00 7.024667481519186740e-01 3.567017780775205704e-01 1.000000000000000000e+00 1.074316978560294622e-01
